run,type,module,name,attrname,attrvalue,value,vectime,vecvalue
General-3-20240904-19:37:04-25926,param,,,RandomGrid.icc.node_type,2,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-3-20240904-19:37:04-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-14-20240904-20:32:30-25926,runattr,,,configname,General,,,
General-14-20240904-20:32:30-25926,runattr,,,datetime,20240904-20:32:30,,,
General-14-20240904-20:32:30-25926,runattr,,,experiment,General,,,
General-14-20240904-20:32:30-25926,runattr,,,inifile,omnetpp.ini,,,
General-14-20240904-20:32:30-25926,runattr,,,iterationvars,"$0=70, $1=2",,,
General-14-20240904-20:32:30-25926,runattr,,,iterationvarsf,"70,2-",,,
General-14-20240904-20:32:30-25926,runattr,,,measurement,"$0=70, $1=2",,,
General-14-20240904-20:32:30-25926,runattr,,,network,RandomGrid,,,
General-14-20240904-20:32:30-25926,runattr,,,processid,25926,,,
General-14-20240904-20:32:30-25926,runattr,,,repetition,0,,,
General-14-20240904-20:32:30-25926,runattr,,,replication,#0,,,
General-14-20240904-20:32:30-25926,runattr,,,resultdir,results,,,
General-14-20240904-20:32:30-25926,runattr,,,runnumber,14,,,
General-14-20240904-20:32:30-25926,runattr,,,seedset,14,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.poweroff_rate,70,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_ic_num,6,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.g_energy_model,0,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.sink.node_type,0,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.icc.node_type,2,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-14-20240904-20:32:30-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-5-20240904-20:31:27-25926,runattr,,,configname,General,,,
General-5-20240904-20:31:27-25926,runattr,,,datetime,20240904-20:31:27,,,
General-5-20240904-20:31:27-25926,runattr,,,experiment,General,,,
General-5-20240904-20:31:27-25926,runattr,,,inifile,omnetpp.ini,,,
General-5-20240904-20:31:27-25926,runattr,,,iterationvars,"$0=1, $1=2",,,
General-5-20240904-20:31:27-25926,runattr,,,iterationvarsf,"1,2-",,,
General-5-20240904-20:31:27-25926,runattr,,,measurement,"$0=1, $1=2",,,
General-5-20240904-20:31:27-25926,runattr,,,network,RandomGrid,,,
General-5-20240904-20:31:27-25926,runattr,,,processid,25926,,,
General-5-20240904-20:31:27-25926,runattr,,,repetition,0,,,
General-5-20240904-20:31:27-25926,runattr,,,replication,#0,,,
General-5-20240904-20:31:27-25926,runattr,,,resultdir,results,,,
General-5-20240904-20:31:27-25926,runattr,,,runnumber,5,,,
General-5-20240904-20:31:27-25926,runattr,,,seedset,5,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.poweroff_rate,1,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_syn_scheme,2,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_ic_num,6,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.g_energy_model,0,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.sink.node_type,0,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.icc.node_type,2,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.ic[*].node_type,1,,,
General-5-20240904-20:31:27-25926,param,,,RandomGrid.ic[*].g_if_produce_packets,false,,,
General-9-20240904-20:31:53-25926,runattr,,,configname,General,,,
General-9-20240904-20:31:53-25926,runattr,,,datetime,20240904-20:31:53,,,
General-9-20240904-20:31:53-25926,runattr,,,experiment,General,,,
General-9-20240904-20:31:53-25926,runattr,,,inifile,omnetpp.ini,,,
General-9-20240904-20:31:53-25926,runattr,,,iterationvars,"$0=50, $1=0",,,
General-9-20240904-20:31:53-25926,runattr,,,iterationvarsf,"50,0-",,,
General-9-20240904-20:31:53-25926,runattr,,,measurement,"$0=50, $1=0",,,
General-9-20240904-20:31:53-25926,runattr,,,network,RandomGrid,,,
General-9-20240904-20:31:53-25926,runattr,,,processid,25926,,,
General-9-20240904-20:31:53-25926,runattr,,,repetition,0,,,
General-9-20240904-20:31:53-25926,runattr,,,replication,#0,,,
General-9-20240904-20:31:53-25926,runattr,,,resultdir,results,,,
General-9-20240904-20:31:53-25926,runattr,,,runnumber,9,,,
General-9-20240904-20:31:53-25926,runattr,,,seedset,9,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.poweroff_rate,50,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_syn_scheme,0,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_ic_syn_cycle,6,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_ic_num,6,,,
General-9-20240904-20:31:53-25926,param,,,RandomGrid.g_energy_model,0,,,
