Time [s],Channel 4,Channel 8
25244.376476320,1,0
25244.484505280,1,1
25244.492420160,0,1
25244.585730560,0,0
25250.690281440,1,0
25250.691036640,0,0
25253.905687680,0,1
25254.017904320,0,0
25667.691873600,1,0
25667.694411200,0,0
25676.681347040,1,0
25676.853689920,0,0
25683.146113440,0,1
25683.458617120,0,0
25689.574728320,1,0
25689.679933760,0,0
25692.739079360,1,0
25692.739829920,0,0
25708.405771680,0,1
25708.514450400,0,0
25720.780989760,0,1
25721.042385760,1,1
25721.052067840,1,0
25721.147341120,0,0
25736.812484000,1,0
25736.813286560,0,0
25743.144774880,1,0
25743.240619200,0,0
25752.441884800,1,0
25752.709806400,0,0
25796.074902240,0,1
25796.074902400,0,0
25883.854545120,0,1
25883.854545280,0,0
25943.457946880,0,1
25943.457947040,0,0
25965.374882080,0,1
25965.374882240,0,0
26081.416105120,0,1
26081.416105280,0,0
26100.240697600,0,1
26100.240697760,0,0
26156.671965760,0,1
26156.671965920,0,0
26184.957751840,1,0
26184.958575680,0,0
26188.103457120,1,0
26188.104275520,0,0
26194.318372960,0,1
26194.318373120,0,0
26194.329614400,0,1
26194.329614560,0,0
26197.300368160,1,0
26197.460761760,0,0
26203.613421600,1,0
26203.737050400,1,1
26203.737050560,1,0
26203.777914080,0,0
26206.997565760,0,1
26207.347247200,0,0
26210.092051200,1,0
26210.192943680,0,0
26219.565515680,1,0
26219.566309280,0,0
26222.821874560,1,0
26222.822583520,0,0
26238.559188000,0,1
26238.667171520,0,0
26244.464355200,0,1
26244.636672320,0,0
26664.519605440,1,0
26664.519605600,0,0
26667.809408000,0,1
26667.975352320,0,0
26670.945402880,0,1
26671.105367200,0,0
26674.081375200,0,1
26674.249119520,0,0
26677.376433440,0,1
26677.527560320,0,0
26677.527561280,0,1
26677.527561920,0,0
26680.510426080,0,1
26680.658516640,0,0
26683.444137920,1,0
26683.444138080,0,0
26686.850428640,1,0
26686.968775040,0,0
26702.377801920,1,0
26702.543811520,0,0
26702.579391200,0,1
26702.680432800,0,0
26705.695288960,1,0
26705.798210080,0,0
26724.747014880,1,0
26724.747810240,0,0
26731.018557120,0,1
26731.021018560,0,0
27135.067257120,0,1
27135.341709920,0,0
27141.508120320,0,1
27141.618479360,0,0
27150.747201280,0,1
27150.915200160,0,0
27157.021372800,0,1
27157.109513120,1,1
27157.212335200,0,1
27157.294071520,0,0
27166.682481920,1,0
27166.794947520,0,0
27172.884349760,1,0
27172.994856160,0,0
27182.380241280,0,1
27182.493296000,0,0
27185.517321920,1,0
27185.620118880,0,0
27630.715331360,0,1
27630.926463200,0,0
27636.930881120,1,0
27637.030449280,0,0
27640.078901920,1,0
27640.178305280,0,0
27643.359372960,1,0
27643.466614080,0,0
27649.560239520,1,0
27649.666651360,0,0
27649.756776960,0,1
27649.872214240,0,0
27658.784991360,0,1
27658.784991520,0,0
27662.021153760,1,0
27662.174238720,1,1
27662.182155680,0,1
27662.282723200,0,0
28097.950851840,0,1
28098.073276320,0,0
28107.203032160,0,1
28107.291280000,1,1
28107.372094560,1,0
28107.399591360,0,0
28113.474687360,0,1
28113.755281440,0,0
28113.755282560,0,1
28113.755283360,0,0
28116.767734880,1,0
28116.866975360,0,0
28122.904667680,1,0
28123.166488960,0,0
28129.153935840,0,1
28129.331208960,0,0
28132.662213760,1,0
28132.663043040,0,0
28138.858001600,1,0
28138.858768640,0,0
28145.165728320,1,0
28145.263227360,0,0
28148.350112480,0,1
28148.465175520,0,0
28580.720987360,0,1
28580.997395680,0,0
28583.797640800,1,0
28583.797640960,0,0
28584.031024000,0,1
28584.135310560,0,0
28587.155070080,0,1
28587.261400320,0,0
28596.592652000,1,0
28596.697204640,0,0
28602.908093760,1,0
28603.011109120,0,0
28606.083090720,0,1
28606.191753920,0,0
28612.210783200,1,0
28612.491092000,0,0
28621.967565600,0,1
28621.970024480,0,0
29041.852822720,0,1
29041.951354240,0,0
29051.101480960,0,1
29051.259416640,0,0
29054.252028320,0,1
29054.408183040,0,0
29054.408184000,0,1
29054.408184960,0,0
29057.533568640,0,1
29057.643969280,0,0
29063.629183680,1,0
29063.629183840,0,0
29063.807824320,0,1
29063.876892640,1,1
29063.930464800,1,0
29063.930465920,1,1
29063.930466560,1,0
29063.987331040,0,0
29070.108482560,1,0
29070.217127680,0,0
29073.250368640,1,0
29073.317925440,1,1
29073.353578240,0,1
29073.426472960,0,0
29091.880302880,0,1
29092.142273440,0,0
29505.793117920,0,1
29505.975952320,0,0
29509.123503680,1,0
29509.228801600,0,0
29512.230644800,0,1
29512.329491200,0,0
29515.057218240,1,0
29515.217300800,0,0
29518.501675200,0,1
29518.616394400,0,0
29521.399404320,1,0
29521.399404480,0,0
29524.607747520,0,1
29524.791920320,0,0
29530.998586240,1,0
29531.109237600,0,0
29540.482497120,1,0
29540.585873760,0,0
29543.698760320,0,1
29543.809228160,0,0
29546.789972480,1,0
29546.790727520,0,0
29549.696720960,0,1
29549.866660480,0,0
29552.832510080,0,1
29553.004465920,0,0
29572.049608320,1,0
29572.156435840,0,0
29575.207752960,1,0
29575.208528480,0,0
29581.358520480,1,0
29581.522554400,0,0
29594.144770400,0,1
29594.147310400,0,0
29976.326890720,0,1
29976.430482400,1,1
29976.433004960,0,1
29976.461323360,0,0
29982.660004000,1,0
29982.774111200,0,0
29985.570115680,0,1
29985.737401120,0,0
29992.002714080,0,1
29992.108811040,0,0
29995.176146240,1,0
29995.275548000,0,0
29998.283494080,0,1
29998.553269440,0,0
30001.217016320,1,0
30001.385554880,0,0
30001.423715680,0,1
30001.524064960,0,0
30007.519980480,0,1
30007.790256640,0,0
30026.699647360,0,1
30026.813161760,0,0
30440.381248000,1,0
30440.480608480,0,0
30452.966409920,0,1
30453.003245600,1,1
30453.072539840,1,0
30453.115809280,0,0
30459.076050240,0,1
30459.240121280,0,0
30471.621713920,0,1
30471.777444320,0,0
30474.911737760,1,0
30475.013214720,0,0
30481.223070560,1,0
30481.324499200,0,0
30487.374739840,1,0
30487.563166080,1,1
30487.649281120,0,1
30487.696361280,0,0
30917.064720320,1,0
30917.177297920,0,0
30935.635674240,1,0
30935.901080960,0,0
30938.952980960,1,0
30938.953747840,0,0
30945.105934240,1,0
30945.269825760,0,0
30957.671118080,0,1
30957.671118240,0,0
30961.062136160,1,0
30961.062885120,0,0
30964.212510080,1,0
30964.322940960,0,0
30967.452616000,0,1
30967.553210400,0,0
31406.178511360,1,0
31406.280003360,0,0
31431.186654880,0,1
31431.350125920,0,0
31437.349982080,1,0
31437.628685280,0,0
31440.759451680,0,1
31440.879408960,0,0
31449.977914560,1,0
31450.145168160,0,0
31453.296592960,0,1
31453.397247040,0,0
31453.397248000,0,1
31453.397248320,0,0
31456.538445280,1,0
31456.645354080,0,0
31459.706594240,1,0
31459.707329600,0,0
31462.770973280,1,0
31462.875976640,0,0
31469.082925920,1,0
31469.083751200,0,0
31472.235356480,1,0
31472.327134240,0,0
31478.553300800,1,0
31478.654423040,0,0
31481.820787520,1,0
31481.821622240,0,0
31494.326088640,1,0
31494.434679040,0,0
31497.406235360,0,1
31497.505427520,0,0
31889.238670080,1,0
31889.347179200,0,0
31895.084842400,1,0
31895.347567200,0,0
31898.615549600,1,0
31898.729900160,0,0
31911.127935520,0,1
31911.237747520,0,0
31914.262432480,0,1
31914.366740160,0,0
31917.182599360,1,0
31917.469768800,0,0
31920.612488800,1,0
31920.613243360,0,0
31926.807436320,0,1
31926.974316640,0,0
31930.072786560,0,1
31930.184486400,0,0
31933.203593920,0,1
31933.318506560,0,0
31942.594134400,1,0
31942.710343040,0,0
31958.008377920,0,1
31958.168398240,0,0
32368.894011520,1,0
32368.961629440,1,1
32369.004815040,0,1
32369.079324320,0,0
32378.085972480,1,0
32378.258112640,0,0
32390.749732960,0,1
32390.928877920,0,0
32397.023420640,0,1
32397.180679040,0,0
32397.180679200,0,1
32397.180680160,0,0
32400.156947360,0,1
32400.344744640,1,1
32400.426628160,1,0
32400.458784320,0,0
32403.665301280,0,1
32403.777273120,0,0
32409.564511520,0,1
32409.731028000,0,0
32412.965794080,1,0
32412.966585760,0,0
32422.538170240,1,0
32422.538953760,0,0
32425.600540480,1,0
32425.706660320,1,1
32425.710912160,0,1
32425.816457600,0,0
32845.296969120,1,0
32845.580659840,0,0
32851.875205920,1,0
32851.875985600,0,0
32857.992981440,0,1
32858.082173280,1,1
32858.082901120,0,1
32858.298302560,0,0
32867.663184480,1,0
32867.766214400,0,0
32870.814542880,0,1
32870.921107840,0,0
32883.345985760,1,0
32883.447222080,0,0
32883.549805600,0,1
32883.552296000,0,0
33312.515955360,1,0
33312.789657760,0,0
33322.256675680,0,1
33322.357299360,0,0
